Data is public domain from US government.,,,,,,,,,
Compiled by combining information from files at: http://gsociology.icaap.org/dataupload.html,,,,,,,,,
,,,,,,,,,
Country,Population,Area,Pop. Density,Net migration,Infant mortality,GDP,Phones,Birthrate,Deathrate
,,sq. mi.,per sq. mi.,,per 1000 births,$ per capita,per 1000,,
Afghanistan ,31056997,647500,48,23.06,163.07,700,3.2,46.6,20.34
Albania ,3581655,28748,124.6,-4.93,21.52,4500,71.2,15.11,5.22
Algeria ,32930091,2381740,13.8,-0.39,31,6000,78.1,17.14,4.61
American Samoa ,57794,199,290.4,-20.71,9.27,8000,259.5,22.46,3.27
Andorra ,71201,468,152.1,6.6,4.05,19000,497.2,8.71,6.25
Angola ,12127071,1246700,9.7,0,191.19,1900,7.8,45.11,24.2
Anguilla ,13477,102,132.1,10.76,21.03,8600,460,14.17,5.34
Antigua & Barbuda ,69108,443,156,-6.15,19.46,11000,549.9,16.93,5.37
Argentina ,39921833,2766890,14.4,0.61,15.18,11200,220.4,16.73,7.55
Armenia ,2976372,29800,99.9,-6.47,23.28,3500,195.7,12.07,8.23
Aruba ,71891,193,372.5,0,5.89,28000,516.1,11.03,6.68
Australia ,20264082,7686850,2.6,3.98,4.69,29000,565.5,12.14,7.51
Austria ,8192880,83870,97.7,2,4.66,30000,452.2,8.74,9.76
Azerbaijan ,7961619,86600,91.9,-4.9,81.74,3400,137.1,20.74,9.75
"Bahamas, The ",303770,13940,21.8,-2.2,25.21,16700,460.6,17.57,9.05
Bahrain ,698585,665,1050.5,1.05,17.27,16900,281.3,17.8,4.14
Bangladesh ,147365352,144000,1023.4,-0.71,62.6,1900,7.3,29.8,8.27
Barbados ,279912,431,649.5,-0.31,12.5,15700,481.9,12.71,8.67
Belarus ,10293011,207600,49.6,2.54,13.37,6100,319.1,11.16,14.02
Belgium ,10379067,30528,340,1.23,4.68,29100,462.6,10.38,10.27
Belize ,287730,22966,12.5,0,25.69,4900,115.7,28.84,5.72
Benin ,7862944,112620,69.8,0,85,1100,9.7,38.85,12.22
Bermuda ,65773,53,1241,2.49,8.53,36000,851.4,11.4,7.74
Bhutan ,2279723,47000,48.5,0,100.44,1300,14.3,33.65,12.7
Bolivia ,8989046,1098580,8.2,-1.32,53.11,2400,71.9,23.3,7.53
Bosnia & Herzegovina ,4498976,51129,88,0.31,21.05,6100,215.4,8.77,8.27
Botswana ,1639833,600370,2.7,0,54.58,9000,80.5,23.08,29.5
Brazil ,188078227,8511965,22.1,-0.03,29.61,7600,225.3,16.56,6.17
British Virgin Is. ,23098,153,151,10.01,18.05,16000,506.5,14.89,4.42
Brunei ,379444,5770,65.8,3.59,12.61,18600,237.2,18.79,3.45
Bulgaria ,7385367,110910,66.6,-4.58,20.55,7600,336.3,9.65,14.27
Burkina Faso ,13902972,274200,50.7,0,97.57,1100,7,45.62,15.6
Burma ,47382633,678500,69.8,-1.8,67.24,1800,10.1,17.91,9.83
Burundi ,8090068,27830,290.7,-0.06,69.29,600,3.4,42.22,13.46
Cambodia ,13881427,181040,76.7,0,71.48,1900,2.6,26.9,9.06
Cameroon ,17340702,475440,36.5,0,68.26,1800,5.7,33.89,13.47
Canada ,33098932,9984670,3.3,5.96,4.75,29800,552.2,10.78,7.8
Cape Verde ,420979,4033,104.4,-12.07,47.77,1400,169.6,24.87,6.55
Cayman Islands ,45436,262,173.4,18.75,8.19,35000,836.3,12.74,4.89
Central African Rep. ,4303356,622984,6.9,0,91,1100,2.3,33.91,18.65
Chad ,9944201,1284000,7.7,-0.11,93.82,1200,1.3,45.73,16.38
Chile ,16134219,756950,21.3,0,8.8,9900,213,15.23,5.81
China ,1313973713,9596960,136.9,-0.4,24.18,5000,266.7,13.25,6.97
Colombia ,43593035,1138910,38.3,-0.31,20.97,6300,176.2,20.48,5.58
Comoros ,690948,2170,318.4,0,74.93,700,24.5,36.93,8.2
"Congo, Dem. Rep. ",62660551,2345410,26.7,0,94.69,700,0.2,43.69,13.27
"Congo, Repub. of the ",3702314,342000,10.8,-0.17,93.86,700,3.7,42.57,12.93
Cook Islands ,21388,240,89.1,,,5000,289.9,21,
Costa Rica ,4075261,51100,79.8,0.51,9.95,9100,340.7,18.32,4.36
Cote d'Ivoire ,17654843,322460,54.8,-0.07,90.83,1400,14.6,35.11,14.84
Croatia ,4494749,56542,79.5,1.58,6.84,10600,420.4,9.61,11.48
